itemLabel,universeLabel
Alice Rondo,That Time I Got Reincarnated as a Slime universe
Raphael,That Time I Got Reincarnated as a Slime universe
Haruna,That Time I Got Reincarnated as a Slime universe
Momo Belia Deviluke,To Love Ru universe
Rin Shima,Laid-Back Camp universe
Ena Saitō,Laid-Back Camp universe
Sakura Kagamihara,Laid-Back Camp universe
Panda,Jujutsu Kaisen universe
Masamichi Yaga,Jujutsu Kaisen universe
Momo Nishimiya,Jujutsu Kaisen universe
Mei Mei,Jujutsu Kaisen universe
Hanami,Jujutsu Kaisen universe
Ogasawara,Ro-Kyu-Bu! universe
Kumi Tsukada,Ro-Kyu-Bu! universe
Mayumi Odaka,Ro-Kyu-Bu! universe
Hector,Re:Zero universe
Bang Shishigami,BlazBlue universe
Hasuta,Haiyore! Nyaruko-san universe
Kurt,Mushoku Tensei universe
Anju Emma,86 universe
Toma Sobi,86 universe
Tozan Sasha,86 universe
Minami Toba,Laid-Back Camp universe
Kalim,Shaman King universe
Seraphine,League of Legends universe
Nyotengu,Dead or Alive universe
Clive Dove,Professor Layton universe
Inspector Chelmey,Professor Layton universe
Rachel Alucard,BlazBlue universe
Jūbei,BlazBlue universe
Q10382127,Marvel Universe
Xavin,Marvel Universe
Baron Itzy Bitzy,Donald Duck universe
Dimwitty Duck,Donald Duck universe
Q10465427,Tintin universe
Maurice Mattressface,Donald Duck universe
Swindle McSue,Donald Duck universe
Bombie the Zombie,Donald Duck universe
Sam Lane,DC Universe
George Taylor,DC Universe
Captain Doberman,Mickey Mouse universe
Angus McDuck,Donald Duck universe
Geppetto (Fables character),DC Universe
Geppetto (Fables character),Fables universe
Guardsman,Marvel Universe
Hellhound,DC Universe
Kancer,DC Universe
Neutron,DC Universe
Killpower,Marvel Universe
Killer Wasp,DC Universe
Anne Weying,Marvel Universe
Maria Vasquez,Marvel Universe
Yun Guang Han,Marvel Universe
Ray (Ray Terrill),DC Universe
Buzz-Off,Masters of the Universe universe
Amazon,Amalgam Universe
Katherine Summers,Marvel Universe
Mr. Bohlwinkel,Tintin universe
Kismet,DC Universe
Bob Stookey,The Walking Dead universe
Holden Carver,DC Universe
Holden Carver,Wildstorm Universe
Holocaust,DC Universe
Holocaust,Dakotaverse
Lord Chaos,DC Universe
Tana Moon,DC Universe
Ebon Samurai,Marvel Universe
Andrew Forson,Marvel Universe
Fredzilla,Marvel Universe
Hellcow,Marvel Universe
Marco,DC Universe
Mister U.S.,Image Universe
Nara,Marvel Universe
Vyndktvx,DC Universe
Luma Lynai,DC Universe
Corvus Glaive,Marvel Universe
Alura In-Ze,DC Universe
Porpy,Donald Duck universe
Sir Roast McDuck,Donald Duck universe
Andy Warbol,Donald Duck universe
Vargen,Bamse universe
Darren Cross,Marvel Universe
Roscoe Sweeney,Marvel Universe
The Saint of Killers,DC Universe
Zed,DC Universe
Fancy Dan,Marvel Universe
Fancy Dan,Earth-616
Ebony Maw,Marvel Universe
Jack Murdock,Marvel Universe
Machiko Noguchi,Alien vs Predator universe
Endaddine Akass,Tintin universe
Hank Pym,Marvel Cinematic Universe
Vera Sweet,DC Universe
Chief O'Hara,DC Universe
Red Ryan,DC Universe
Stalker,DC Universe
Dewey Duck,Donald Duck universe
Pozhar (DC Comics),DC Universe
King Ezekiel,The Walking Dead universe
Hephaestus,DC Universe
"Yggardis, the Living Planet",DC Universe
Diamondback,Marvel Universe
Diamondback,Earth-616
Ice King,DC Universe
Namor,Marvel Universe
Namor,Earth-616
Gladstone Gander,Donald Duck universe
Tomacco,The Simpsons universe
Chtylok,Marvel Universe
Jake the Dog,Adventure Time universe
Jake the Dog,Farmworld
Hayley Marshall-Kenner,The Vampire Diaries universe
Tora Ziyal,Star Trek universe
Youmu Konpaku,Touhou Project universe
dronkey,Shrek universe
Grail,DC Universe
Hope Mikaelson,The Vampire Diaries universe
Amazing Baby,Marvel Universe
Amazing Baby,Earth-616
Namor,Marvel Cinematic Universe
Q130741778,The Orca's Universe
Q130741783,The Orca's Universe
Q130741786,The Orca's Universe
Q130750640,The Orca's Universe
Rosetta,Granblue Fantasy universe
Noa,Granblue Fantasy universe
Sans,Undertale universe
Sans,Deltarune universe
Zooey,Granblue Fantasy universe
Morphe,Granblue Fantasy universe
Medusa,Granblue Fantasy universe
Tiamat,Granblue Fantasy universe
Europa,Granblue Fantasy universe
Shiva,Granblue Fantasy universe
Athena,Granblue Fantasy universe
Grimnir,Granblue Fantasy universe
Macula Marius,Granblue Fantasy universe
Baal,Granblue Fantasy universe
Halluel,Granblue Fantasy universe
Colossus,Granblue Fantasy universe
Belial,Granblue Fantasy universe
Wiene,Is It Wrong to Try to Pick Up Girls in a Dungeon? universe
Lyd,Is It Wrong to Try to Pick Up Girls in a Dungeon? universe
Gros,Is It Wrong to Try to Pick Up Girls in a Dungeon? universe
Ray,Is It Wrong to Try to Pick Up Girls in a Dungeon? universe
Ranye,Is It Wrong to Try to Pick Up Girls in a Dungeon? universe
Fear,Is It Wrong to Try to Pick Up Girls in a Dungeon? universe
Let,Is It Wrong to Try to Pick Up Girls in a Dungeon? universe
Asterius,Is It Wrong to Try to Pick Up Girls in a Dungeon? universe
Four,Is It Wrong to Try to Pick Up Girls in a Dungeon? universe
Aude,Is It Wrong to Try to Pick Up Girls in a Dungeon? universe
Cliff,Is It Wrong to Try to Pick Up Girls in a Dungeon? universe
Arles,Is It Wrong to Try to Pick Up Girls in a Dungeon? universe
Gryuu,Is It Wrong to Try to Pick Up Girls in a Dungeon? universe
Marie,Is It Wrong to Try to Pick Up Girls in a Dungeon? universe
Varuna,Granblue Fantasy universe
Sandalphon,Granblue Fantasy universe
Lich,Granblue Fantasy universe
Enyo,Granblue Fantasy universe
Freyr,Granblue Fantasy universe
Laura,Is It Wrong to Try to Pick Up Girls in a Dungeon? universe
Smilers,The Backrooms mythos
Skin-Stealers,The Backrooms mythos
The Thing on Level 7,The Backrooms mythos
Hound,The Backrooms mythos
Mettaton,Undertale universe
Facelings,The Backrooms mythos
Michael,Granblue Fantasy universe
Raphael,Granblue Fantasy universe
Uriel,Granblue Fantasy universe
Papyrus,Undertale universe
Undyne,Undertale universe
Alphys,Undertale universe
Susie,Deltarune universe
Noelle Holiday,Deltarune universe
Muffet,Undertale universe
Napstablook,Undertale universe
Napstablook,Deltarune universe
Duller,The Backrooms mythos
Partygoer,The Backrooms mythos
The Radiance,Hollow Knight universe
Caro,Granblue Fantasy universe
Cosmos,Granblue Fantasy universe
Kaguya,Granblue Fantasy universe
Raziel,Granblue Fantasy universe
Horus,Granblue Fantasy universe
Magus,Granblue Fantasy universe
Stinky,Insaniquarium universe
Niko,Insaniquarium universe
Itchy,Insaniquarium universe
Prego,Insaniquarium universe
Zorf,Insaniquarium universe
Clyde,Insaniquarium universe
Vert,Insaniquarium universe
Rufus,Insaniquarium universe
Meryl,Insaniquarium universe
Wadsworth,Insaniquarium universe
Seymour,Insaniquarium universe
Shrapnel,Insaniquarium universe
Gumbo,Insaniquarium universe
Blip,Insaniquarium universe
Rhubarb,Insaniquarium universe
Nimbus,Insaniquarium universe
Amp,Insaniquarium universe
Gash,Insaniquarium universe
Angie,Insaniquarium universe
Presto,Insaniquarium universe
Brinkley,Insaniquarium universe
Nostradamus,Insaniquarium universe
Stanley,Insaniquarium universe
Walter,Insaniquarium universe
Sylvester,Insaniquarium universe
Balrog,Insaniquarium universe
Gus,Insaniquarium universe
Destructor,Insaniquarium universe
Ulysses,Insaniquarium universe
Psychosquid,Insaniquarium universe
Bilaterus,Insaniquarium universe
Cyrax,Insaniquarium universe
Minisylvester,Insaniquarium universe
Bilaterus Head,Insaniquarium universe
Cookie,Insaniquarium universe
Optimus Prime,Transformers multiverse
Bumblebee,Transformers multiverse
Ironhide,Transformers multiverse
Jetfire,Transformers multiverse
Ratchet,Transformers multiverse
Sunstreaker,Transformers multiverse
Jazz,Transformers multiverse
Sideswipe,Transformers multiverse
Arcee,Transformers multiverse
Sentinel Prime,Transformers multiverse
Wheeljack,Transformers multiverse
Primus,Transformers multiverse
Bluestreak,Transformers multiverse
Hound,Transformers multiverse
Blaster,Transformers multiverse
Silverbolt,Transformers multiverse
Cosmos,Transformers multiverse
Red Alert,Transformers multiverse
Windcharger,Transformers multiverse
Alpha Trion,Transformers multiverse
Skywarp,Transformers multiverse
Omega Supreme,Transformers multiverse
Metroplex,Transformers multiverse
Kup,Transformers multiverse
Skids,Transformers multiverse
Mudflap,Transformers multiverse
Tracks,Transformers multiverse
Wreck-Gar,Transformers multiverse
Jetstorm,Transformers multiverse
Jolt,Transformers multiverse
Leadfoot,Transformers multiverse
Roadbuster,Transformers multiverse
Topspin,Transformers multiverse
Breakdown,Transformers multiverse
Vortex,Transformers multiverse
Gears,Transformers multiverse
Grapple,Transformers multiverse
First Aid,Transformers multiverse
Superion,Transformers multiverse
Metalhawk,Transformers multiverse
Sludge,Transformers multiverse
Fireflight,Transformers multiverse
Snarl,Transformers multiverse
Powerglide,Transformers multiverse
Hot Spot,Transformers multiverse
Landmine,Transformers multiverse
Vector Prime,Transformers multiverse
Streetwise,Transformers multiverse
Blast Off,Transformers multiverse
Checkpoint,Transformers multiverse
Countdown,Transformers multiverse
Crosshairs,Transformers multiverse
Doublecross,Transformers multiverse
Downshift,Transformers multiverse
Drift,Transformers multiverse
Erector,Transformers multiverse
Firestar,Transformers multiverse
Grotusque,Transformers multiverse
High Beam,Transformers multiverse
Slipstream,Transformers multiverse
Wasp,Transformers multiverse
Makeshift,Transformers multiverse
Moonracer,Transformers multiverse
Nightbeat,Transformers multiverse
Omnibots,Transformers multiverse
Optimus Primal,Transformers multiverse
Overload,Transformers multiverse
Path Finder,Transformers multiverse
Pipes,Transformers multiverse
Powerglide,Transformers multiverse
Punch-Counterpunch,Transformers multiverse
Quickmix,Transformers multiverse
Quickswitch,Transformers multiverse
Railspike,Transformers multiverse
Raindance,Transformers multiverse
Rapido,Transformers multiverse
Rewind,Transformers multiverse
Road Ranger,Transformers multiverse
Roadblock,Transformers multiverse
Salvage,Transformers multiverse
Sandstorm,Transformers multiverse
Scattorshot,Transformers multiverse
Scavenger,Transformers multiverse
Scoop,Transformers multiverse
Signal Flare,Transformers multiverse
Stockade,Transformers multiverse
Strafe,Transformers multiverse
Strika,Transformers multiverse
Swerve,Transformers multiverse
Tailwind,Transformers multiverse
Thunder Clash,Transformers multiverse
Thunderwing,Transformers multiverse
Wing Saber,Transformers multiverse
Overkill,Transformers multiverse
Hubcap,Transformers multiverse
Payload,Transformers multiverse
Cab,Transformers multiverse
Strongarm,Transformers multiverse
Blackarachnia,Transformers multiverse
Sora,Kingdom Hearts universe
Nile Dok,Attack on Titan universe
Junko Enoshima,Danganronpa universe
Gemini Abel,Saint Seiya universe
Fugaku Uchiha,Naruto universe
Kuina,One Piece universe
Tellu,Sailor Moon universe
Roxas,Kingdom Hearts universe
Dianna Soreil,Correct Century
Beltorchika Irma,Universal Century
Son Goku,Saiyuki universe
Mikoto Uchiha,Naruto universe
Luppi Antenor,Bleach universe
Kanako Kurusu,Oreimo universe
Ramos,Pokémon universe
Oonoki,Naruto universe
Wendy Marvell,Fairy Tail universe
Nicol Amalfi,Cosmic Era
Fraw Bow,Universal Century
Tsubaki Nakatsukasa,Soul Eater universe
Fisher Tiger,One Piece universe
Kaguya Ōtsutsuki,Naruto universe
Prince Endymion,Sailor Moon universe
Mark Evans,Inazuma Eleven universe
Yuuto Kidou,Inazuma Eleven universe
Patchouli Knowledge,Touhou Project universe
Marco,One Piece universe
Panty Anarchy,Panty & Stocking with Garterbelt universe
Nekomamushi,One Piece universe
Rebecca,One Piece universe
Yue,Cardcaptor Sakura universe
Takao Hiyama,Future Diary universe
Centorea Shianus,Monster Musume universe
Vinsmoke Sora,One Piece universe
Vinsmoke Ichiji,One Piece universe
Gran,Granblue Fantasy universe
De La Fille,Granblue Fantasy universe
Zehek,Granblue Fantasy universe
Yuel,Granblue Fantasy universe
Feather,Granblue Fantasy universe
Mishra,Granblue Fantasy universe
Eso,Granblue Fantasy universe
Sig,Granblue Fantasy universe
Ferry,Granblue Fantasy universe
Daetta,Granblue Fantasy universe
Arulumaya,Granblue Fantasy universe
Lennah,Granblue Fantasy universe
Johann,Granblue Fantasy universe
Carmelina,Granblue Fantasy universe
Andira,Granblue Fantasy universe
Batman,DC Universe
Hun,Teenage Mutant Ninja Turtles universe
Manx,Teenage Mutant Ninja Turtles universe
Ray,Teenage Mutant Ninja Turtles universe
Garson Grunge,Teenage Mutant Ninja Turtles universe
Garson Grunge,Teenage Mutant Ninja Turtles universe
Phoebe,Granblue Fantasy universe
Yggdrasil,Granblue Fantasy universe
Azazel,Granblue Fantasy universe
Olivia,Granblue Fantasy universe
Alexiel,Granblue Fantasy universe
Malluel,Granblue Fantasy universe
Fenrir,Granblue Fantasy universe
Satyr,Granblue Fantasy universe
Bebop,Teenage Mutant Ninja Turtles universe
Ahri,League of Legends universe
Corki,League of Legends universe
Gnar,League of Legends universe
Heimerdinger,League of Legends universe
Kled,League of Legends universe
Lulu,League of Legends universe
Nami,League of Legends universe
Neeko,League of Legends universe
Poppy,League of Legends universe
Rakan,League of Legends universe
Rengar,League of Legends universe
Rumble,League of Legends universe
Sett,League of Legends universe
Teemo,League of Legends universe
Tristana,League of Legends universe
Veigar,League of Legends universe
Wukong,League of Legends universe
Xayah,League of Legends universe
Ziggs,League of Legends universe
Fizz,League of Legends universe
Kennen,League of Legends universe
Bebop,Teenage Mutant Ninja Turtles universe
Shredder,Teenage Mutant Ninja Turtles universe
Nezha,Granblue Fantasy universe
Michelangelo,Teenage Mutant Ninja Turtles universe
Leatherhead,Teenage Mutant Ninja Turtles universe
Poseidon,Granblue Fantasy universe
Vex,League of Legends universe
Sylph,Granblue Fantasy universe
Yuni,Granblue Fantasy universe
Rupert Swaggart,Teenage Mutant Ninja Turtles universe
Todd Capybara,Teenage Mutant Ninja Turtles universe
Repo Mantis,Teenage Mutant Ninja Turtles universe
Gabriel,Granblue Fantasy universe
Superfly,Teenage Mutant Ninja Turtles universe
Raphael,Teenage Mutant Ninja Turtles universe
Canderous Ordo,Star Wars Legends
Shang Tsung,Mortal Kombat universe
Luis Fernando Lopez,Grand Theft Auto HD universe
Nemesis,Resident Evil universe
Vincent Valentine,Final Fantasy VII universe
Vincent Valentine,Final Fantasy universe
Samir Duran,StarCraft universe
Copperhead,DC Universe
Victor Vance,Grand Theft Auto 3D universe
Joe Chill,DC Universe
Geralt of Rivia,The Witcher universe
Barry Burton,Resident Evil universe
Moloch,Mortal Kombat universe
Li Mei,Mortal Kombat universe
Rose,Street Fighter universe
Kenshi,Mortal Kombat universe
Carmine Falcone,DC Universe
Meetra Surik,Star Wars Legends
Ratchet,Ratchet & Clank universe
Jolee Bindo,Star Wars Legends
William Birkin,Resident Evil universe
Gravemind,Halo universe
Soma Cruz,Castlevania universe
Andy Bogard,The King of Fighters universe
Gilbert Durandal,Cosmic Era
Yuri Sakazaki,The King of Fighters universe
Sunny Emmerich,Metal Gear universe
Cyrus,Pokémon universe
Don Karnage,Talespin universe
Edea Kramer,Final Fantasy universe
Eiko Carol,Final Fantasy universe
Flora Reinhold,Professor Layton universe
Lucy,Pokémon universe
Garm Bel Iblis,Star Wars Legends
Garnet Til Alexandros XVII,Final Fantasy universe
Mokap,Mortal Kombat universe
Laguna Loire,Final Fantasy universe
Lance Vance,Grand Theft Auto 3D universe
Largo LaGrande,Monkey Island world
Locke Cole,Final Fantasy universe
Maylene,Pokémon universe
Moka Akashiya,Rosario + Vampire universe
Phil Cassidy,Grand Theft Auto 3D universe
Picaroon C. Boodle,Star Wars Legends
Quistis Trepe,Final Fantasy universe
SA-X,Metroid universe
Greta,Pokémon universe
Altaïr Ibn-La'Ahad SUSCRIBANSE A @Ssan_sana,Assassin's Creed universe
Yuffie Kisaragi,Final Fantasy VII universe
Yuffie Kisaragi,Final Fantasy universe
Cyberdemon,Doom universe
Jhun Hoon,The King of Fighters universe
Gill,Street Fighter universe
Shen Woo,The King of Fighters universe
Aaron,Pokémon universe
Dark Queen,Battletoads universe
Igniz,The King of Fighters universe
Eddard Stark,World of Ice and Fire
Theon Greyjoy,World of Ice and Fire
Tyrion Lannister,World of Ice and Fire
Daenerys Targaryen,World of Ice and Fire
Catelyn Stark,World of Ice and Fire
Jon Snow,World of Ice and Fire
Sansa Stark,World of Ice and Fire
Arya Stark,World of Ice and Fire
Bran Stark,World of Ice and Fire
Cersei Lannister,World of Ice and Fire
Illyrio Mopatis,World of Ice and Fire
Jaime Lannister,World of Ice and Fire
Jorah Mormont,World of Ice and Fire
Varys,World of Ice and Fire
Petyr Baelish,World of Ice and Fire
Barristan Selmy,World of Ice and Fire
Khal Drogo,World of Ice and Fire
Mance Rayder,World of Ice and Fire
Melisandre,World of Ice and Fire
Jaqen H'ghar,World of Ice and Fire
Beric Dondarrion,World of Ice and Fire
Brienne of Tarth,World of Ice and Fire
Samwell Tarly,World of Ice and Fire
Stannis Baratheon,World of Ice and Fire
Rickon Stark,World of Ice and Fire
Bronn,World of Ice and Fire
Jeor Mormont,World of Ice and Fire
Joffrey Baratheon,World of Ice and Fire
Margaery Tyrell,World of Ice and Fire
Shae,World of Ice and Fire
Tywin Lannister,World of Ice and Fire
Viserys Targaryen,World of Ice and Fire
Robert Baratheon,World of Ice and Fire
Janos Slynt,World of Ice and Fire
Renly Baratheon,World of Ice and Fire
Loras Tyrell,World of Ice and Fire
Aerys II Targaryen,World of Ice and Fire
Oberyn Martell,World of Ice and Fire
Lysa Arryn,World of Ice and Fire
Tommen Baratheon,World of Ice and Fire
Ramsay Bolton,World of Ice and Fire
Roose Bolton,World of Ice and Fire
Myrcella Baratheon,World of Ice and Fire
Q130750731,The Orca's Universe
Khravylava,The Orca's Universe
Varydavarah,The Orca's Universe
Vylradênah,The Orca's Universe
Sêterrh,The Orca's Universe
MantraX,The Orca's Universe
Q130807530,The Orca's Universe
Q130811907,The Orca's Universe
Q130813202,The Orca's Universe
Q130814722,The Orca's Universe
Q130816356,The Orca's Universe
Q130880325,The Orca's Universe
Q130881779,The Orca's Universe
Lordeurh,The Orca's Universe
Q130885534,The Orca's Universe
Q130886983,The Orca's Universe
Q130887030,The Orca's Universe
Worss,The Orca's Universe
Ayth Ryver,The Orca's Universe
Ekhylopse,The Orca's Universe
Q130916186,The Orca's Universe
Q130917705,The Orca's Universe
Q130918205,The Orca's Universe
Fârah,The Orca's Universe
Eckh,The Orca's Universe
Lûbeck,The Orca's Universe
Jeffer,The Orca's Universe
Pulssyh,The Orca's Universe
Ëldenh,The Orca's Universe
Q130928269,The Orca's Universe
Q130928287,The Orca's Universe
Q130928306,The Orca's Universe
Q130928312,The Orca's Universe
Q130928330,The Orca's Universe
Q130928344,The Orca's Universe
Q130928714,The Orca's Universe
Q130928908,The Orca's Universe
Q130928965,The Orca's Universe
Q130928999,The Orca's Universe
Q130980745,The Orca's Universe
Q130980750,The Orca's Universe
Q130980766,The Orca's Universe
Q130980773,The Orca's Universe
Veylleurh Layrh,The Orca's Universe
Q130981136,The Orca's Universe
Q130981139,The Orca's Universe
Q130981448,The Orca's Universe
Q130983933,The Orca's Universe
Q130983955,The Orca's Universe
Q130984399,The Orca's Universe
Q130984629,The Orca's Universe
Q130984637,The Orca's Universe
Q130984823,The Orca's Universe
Q130984941,The Orca's Universe
Q130985228,The Orca's Universe
Q130985244,The Orca's Universe
Q131004851,The Orca's Universe
Q131004864,The Orca's Universe
Q131004896,The Orca's Universe
Q131005109,The Orca's Universe
Obi-Wan Kenobi,Star Wars universe
Chewbacca,Star Wars universe
Jim Gordon,DC Universe
Indiana Jones,Indiana Jones universe
Ra's al Ghul,DC Universe
Bane,DC Universe
Michelangelo,Teenage Mutant Ninja Turtles universe
Amarant Coral,Final Fantasy universe
Darth Bandon,Star Wars Legends
Azrael,DC Universe
Jaina Proudmoore,Warcraft universe
Papu Papu,Crash Bandicoot universe
Scooby-Doo,Scooby Doo universe
Blue Mary,The King of Fighters universe
Char Aznable,Universal Century
Velma Dinkley,Scooby Doo universe
Professor Oak,Pokémon universe
Danny Phantom,Danny Phantom universe
Dr. Rosenberg,Half-Life / Portal universe
Sie Kensou,The King of Fighters universe
Kuja,Final Fantasy universe
Ayane,Dead or Alive universe
Odessa Cubbage,Half-Life / Portal universe
Trish,Devil May Cry universe
Yuna,Final Fantasy universe
Kabal,Mortal Kombat universe
Raszagal,StarCraft universe
Vergil,Devil May Cry universe
Man-Bat,DC Universe
Deadpool,Marvel Universe
Deadpool,Earth-616
Shao Kahn,Mortal Kombat universe
Kitana,Mortal Kombat universe
Goro,Mortal Kombat universe
Kurtis Stryker,Mortal Kombat universe
Kenny,The Walking Dead universe
Mommy Long Legs,Poppy Playtime universe
Erick,World Heroes universe
Daelan Red Tiger,Forgotten Realms
Vaermina,The Elder Scrolls universe
Ventus,Kingdom Hearts universe
Ai Suotome,Crayon Shin-chan universe
Mable,Pokémon universe
Emporio Ivankov,One Piece universe
Sidney,Pokémon universe
Gardenia,Pokémon universe
Hanzou,Naruto universe
Ibiki Morino,Naruto universe
Jinpachi Munashi,Naruto universe
Yhwach,Bleach universe
Ume Matsuzaka,Crayon Shin-chan universe
Koga,Pokémon universe
Cheren,Pokémon universe
Lala Satalin Deviluke,To Love Ru universe
Maka Albarn,Soul Eater universe
Grimsley,Pokémon universe
Galdino,One Piece universe
Kōmori Nazo,Rosario + Vampire universe
Roark,Pokémon universe
Clay,Pokémon universe
Ragna the Bloodedge,BlazBlue universe
Sajin Komamura,Bleach universe
Shiki,One Piece universe
Shinigami,Soul Eater universe
Brycen,Pokémon universe
Garuda Suikyō,Saint Seiya universe
Rangiku Matsumoto,Bleach universe
Buck,Pokémon universe
Tamao Tamamura,Shaman King universe
Nodoka Saotome,Ranma ½ universe
Motoko Kusanagi,World of Ghost in the Shell
Clow Reed,Cardcaptor Sakura universe
Daz Bonez,One Piece universe
Mimete,Sailor Moon universe
Viluy,Sailor Moon universe
Puppetmon,Digimon universe
Loran Cehack,Correct Century
Daisuke Aramaki,World of Ghost in the Shell
Sakon,Naruto universe
Akamaru,Naruto universe
Mei Terumi,Naruto universe
Isshin Kurosaki,Bleach universe
R2-D2,Star Wars Legends
R2-D2,Star Wars universe
Bilbo Baggins,Tolkien's legendarium
Arwen,Tolkien's legendarium
Elrond,Tolkien's legendarium
Peregrin Took,Tolkien's legendarium
Meriadoc Brandybuck,Tolkien's legendarium
Eärendil,Tolkien's legendarium
Fredegar Bolger,Tolkien's legendarium
Tyrant virus,Resident Evil universe
Kor,Star Trek universe
Elros,Tolkien's legendarium
Elwing,Tolkien's legendarium
Dior Eluchíl,Tolkien's legendarium
Déagol,Tolkien's legendarium
Elanor Gardner,Tolkien's legendarium
Eluréd,Tolkien's legendarium
Hamfast Gamgee,Tolkien's legendarium
Legacy Virus,Marvel Universe
Bandobras Took,Tolkien's legendarium
Elrohir,Tolkien's legendarium
Galador,Tolkien's legendarium
Gorhendad Brandybuck,Tolkien's legendarium
Malva Brandybuck,Tolkien's legendarium
Penlodh,Tolkien's legendarium
Primula Brandybuck,Tolkien's legendarium
Lotho Sackville-Baggins,Tolkien's legendarium
Elladan,Tolkien's legendarium
techno-organic virus,Marvel Universe
Farmer Maggot,Tolkien's legendarium
Elurín,Tolkien's legendarium
Q9094486,Resident Evil universe
Uroboros Virus,Resident Evil universe
Will Whitfoot,Tolkien's legendarium
Isembard Took,Tolkien's legendarium
Dora Baggins,Tolkien's legendarium
Largo Baggins,Tolkien's legendarium
Mungo Baggins,Tolkien's legendarium
Mirabella Took,Tolkien's legendarium
Amaranto Brandybuck,Tolkien's legendarium
Hildigrim Took,Tolkien's legendarium
Sadoc Brandybuck,Tolkien's legendarium
Marroc Brandybuck,Tolkien's legendarium
Salvia Bolger,Tolkien's legendarium
Gundabald Bolger,Tolkien's legendarium
Rudolph Bolger,Tolkien's legendarium
Fastolph Bolger,Tolkien's legendarium
Theobald Bolger,Tolkien's legendarium
Pansy Baggins,Tolkien's legendarium
Belba Baggins,Tolkien's legendarium
Otto Boffin,Tolkien's legendarium
Rudibert Bolger,Tolkien's legendarium
Orgulas Brandybuck,Tolkien's legendarium
Ferumbras Took II,Tolkien's legendarium
Isengrim Took II,Tolkien's legendarium
Blanco Bracegirdle,Tolkien's legendarium
Bosco Boffin,Tolkien's legendarium
Sancho Proudfoot,Tolkien's legendarium
Hime Yarizakura,Yozakura Quartet universe
Kyōsuke Kishi,Yozakura Quartet universe
Gin Nanami,Yozakura Quartet universe
Gobzo,That Time I Got Reincarnated as a Slime universe
Cruz Bussell,Is It Wrong to Try to Pick Up Girls in a Dungeon? universe
Kagali,That Time I Got Reincarnated as a Slime universe
Rinku Aimoto,D4DJ universe
Muni Ohnaruto,D4DJ universe
Shouta Magatsuchi,Miss Kobayashi's Dragon Maid universe
Makino,One Piece universe
Ripper,One Piece universe
Cabaji,One Piece universe
Doreth,That Time I Got Reincarnated as a Slime universe
Merry,One Piece universe
Stainless,One Piece universe
Yorki,One Piece universe
Chess,One Piece universe
Kureha,One Piece universe
Roshio,One Piece universe
Laffitte,One Piece universe
Su,One Piece universe
Shura,One Piece universe
Satori,One Piece universe
Braham,One Piece universe
Genbo,One Piece universe
Capote,One Piece universe
Kokoro,One Piece universe
Tilestone,One Piece universe
Blueno,One Piece universe
Jerry,One Piece universe
Roche,One Piece universe
Doberman,One Piece universe
Jigoro,One Piece universe
Camie,One Piece universe
Gyaro,One Piece universe
Rosward,One Piece universe
Byron,One Piece universe
Ronse,One Piece universe
Darui,Naruto universe
Ramba,One Piece universe
Izou,One Piece universe
Bizarre,One Piece universe
Kacricon Cacooler,Universal Century
Roux Louka,Universal Century
Banagher Links,Universal Century
Mineva Lao Zabi,Universal Century
Riddhe Marcenas,Universal Century
Gilboa Sant,Universal Century
Inosuke Hashibira,Demon Slayer: Kimetsu no Yaiba universe
Magra,One Piece universe
Ginger York,Mushoku Tensei universe
Robina Goodfellow,The Faraway Paladin universe
Willow Rosenberg,Buffyverse
Goldberry,Tolkien's legendarium
Little My,Moomin world
Tara Maclay,Buffyverse
Amy Madison,Buffyverse
Mymble,Moomin world
the Mymble,Moomin world
Jinbe,One Piece universe
Bellamy,One Piece universe
Shinji Ikari,Neon Genesis Evangelion universe
Mayuri Kurotsuchi,Bleach universe
Sailor Galaxia,Sailor Moon universe
Shenron,Dragon Ball universe
Donquixote Doflamingo,One Piece universe
Sasuke Sarugakure,Ranma ½ universe
Tobirama Senju,Naruto universe
Szayel Aporro Granz,Bleach universe
Yoruichi Shihōin,Bleach universe
Portgas D. Ace,One Piece universe
Dende,Dragon Ball universe
Morgan,One Piece universe
Monkey D. Garp,One Piece universe
Raditz,Dragon Ball universe
Nodoka Miyazaki,Q11677487
Marik Ishtar,Yu-Gi-Oh! universe
Borsalino,One Piece universe
Duo Maxwell,After Colony
Tea Gardner,Yu-Gi-Oh! universe
Retsu Unohana,Bleach universe
Shigekuni Yamamoto-Genryūsai,Bleach universe
Crocodile,One Piece universe
Puar,Dragon Ball universe
Akane Tendo,Ranma ½ universe
Cagalli Yula Athha,Cosmic Era
Giolio Comanche,Fullmetal Alchemist universe
Cancer Manigoldo,Saint Seiya universe
May Chang,Fullmetal Alchemist universe
Alraune Queen,Saint Seiya universe
Lan Fan,Fullmetal Alchemist universe
Queen Beryl,Sailor Moon universe
Shaina Ophiuchus,Saint Seiya universe
Colress,Pokémon universe
Barry the Chopper,Fullmetal Alchemist universe
Caesar Clown,One Piece universe
Elesa,Pokémon universe
Caitlin,Pokémon universe
Bunta Takakura,Crayon Shin-chan universe
Eusine,Pokémon universe
Leonardo,Teenage Mutant Ninja Turtles universe
Donatello,Teenage Mutant Ninja Turtles universe
Michelangelo,Teenage Mutant Ninja Turtles universe
