itemLabel,universeLabel
Evelyn Smythe,Whoniverse
Bupu,Dragonlance
Ivana Boritsi,Ravenloft
Kamen Rider V3,Toei Tokusatsu
Knightsabre,Image
Korba,Dune
Muriel Frost,Whoniverse
Psilence,Image
Sarah Kerrigan,StarCraft
Sarah Kerrigan,StarCraft
Sarah Kerrigan,StarCraft
Sarah Kerrigan,Warcraft
Sarah Kerrigan,Warcraft
Sarah Kerrigan,Warcraft
Zeratul,StarCraft
Overmind,StarCraft
Mannoroth,Warcraft
Sargeras,Warcraft
Zuljin,Warcraft
Tassadar,StarCraft
Voljin,Warcraft
Raszagal,StarCraft
Varian Wrynn,Warcraft
Jim Raynor,StarCraft
Jim Raynor,Warcraft
Even Piell,Star Wars
Alegracia,Trilogy of Alégracia
Rogal Dorn,"Warhammer 40,000"
Midas,Marvel
Byrrah,Marvel
Varimathras,Warcraft
Arcturus Mengsk,StarCraft
Bodo Baas,Star Wars
Magtheridon,Warcraft
MalGanis,Warcraft
Senjin,Warcraft
Tichondrius,Warcraft
Biomateria,StarCraft
Angus Mengsk,StarCraft
Daggoth,StarCraft
Kaloth,StarCraft
Selendis,StarCraft
Adun,StarCraft
Gerard DuGalle,StarCraft
Zasz,StarCraft
Pikachu,Pokémon
Aldaris,StarCraft
Alexei Stukov,StarCraft
Artanis,StarCraft
Edmund Duke,StarCraft
Fenix,StarCraft
Khadgar,Warcraft
Zagara,StarCraft
Karass,StarCraft
Kiljaeden,Warcraft
Steve,Minecraft
Alex,Minecraft
Jannah,Star Wars
Dale Cooper (Doppelganger),Twin Peaks
Captain Pikachu,Pokémon
Jack Staff,Image
Jonas Glim,DC
Lyta Milton,DC
Overt-Kill,Image
Paula Pophouse,Image
Tiffany,Image
Flint,Star Wars
Ares,Camp Half-Blood chronicles
Madame White Snake,Legend of the White Snake
Computron,Transformers multiverse
Baalzamon,The Wheel of Time
Gloss,The Hunger Games
Venia,The Hunger Games
Mrs. Everdeen,The Hunger Games
Grizzlor,Masters of the Universe
Nute Gunray,Star Wars
Jar Jar Binks,Star Wars
Uatu,Marvel
Uatu,Earth-616
Aron,Marvel
Boss Nass,Star Wars
Boss Nass,Star Wars
Visser Three,Animorphs
Princess Shroob,Super Mario
Commander Mozar,Teenage Mutant Ninja Turtles
Zanramon,Teenage Mutant Ninja Turtles
Lrrr,Futuramaverse
Ndnd,Futuramaverse
Chrell,Teenage Mutant Ninja Turtles
Zorax,Teenage Mutant Ninja Turtles
Mortu,Teenage Mutant Ninja Turtles
Zog,Teenage Mutant Ninja Turtles
Traximus,Teenage Mutant Ninja Turtles
Monza Ram,Teenage Mutant Ninja Turtles
Zukko,Teenage Mutant Ninja Turtles
Xeinos,Teenage Mutant Ninja Turtles
Chrell,Teenage Mutant Ninja Turtles
Bishop,Teenage Mutant Ninja Turtles
Chrell,Teenage Mutant Ninja Turtles
Krang,Teenage Mutant Ninja Turtles
Slashuur,Teenage Mutant Ninja Turtles
Mozar,Teenage Mutant Ninja Turtles
Zanramon,Teenage Mutant Ninja Turtles
Zog,Teenage Mutant Ninja Turtles
Zog,Teenage Mutant Ninja Turtles
Mozar,Teenage Mutant Ninja Turtles
Zax,Teenage Mutant Ninja Turtles
Zoran,Teenage Mutant Ninja Turtles
Zanmoran,Teenage Mutant Ninja Turtles
Zeno,Teenage Mutant Ninja Turtles
Zovox,Teenage Mutant Ninja Turtles
Zarus,Teenage Mutant Ninja Turtles
Zork,Teenage Mutant Ninja Turtles
Zork,Teenage Mutant Ninja Turtles
Widow,Marvel
Widow,Earth-616
Alexander,Star Trek
Redmond Mann,Team Fortress
Hunter Covington,Serenityverse
Lone Starr,Spaceballs
Kingfish,Teenage Mutant Ninja Turtles
Louie,Talespin
Turtle Warrior,Teenage Mutant Ninja Turtles
Dark Helmet,Spaceballs
Number One,Star Trek
Michelangelo,Teenage Mutant Ninja Turtles
Nermal,Garfield
Lizzie Saltzman,The Vampire Diaries
ChoGath,League of Legends
Illaoi,League of Legends
Kayle,League of Legends
Nautilus,League of Legends
Nidalee,League of Legends
Rengar,League of Legends
Rumble,League of Legends
Shaco,League of Legends
Shen,League of Legends
Sylas,League of Legends
Trundle,League of Legends
Vladimir,League of Legends
Xerath,League of Legends
Yasuo,League of Legends
KogMaw,League of Legends
Squint,Teenage Mutant Ninja Turtles
Speedy,DC
Ezio Auditore da Firenze,Assassin's Creed
Sly Cooper,Sly Cooper
Eddie Brock,Marvel
Eddie Brock,Earth-616
Emmeline Vance,Harry Potter
Spyke,Marvel
Carrie Kelley,DC
Casey Jones,Teenage Mutant Ninja Turtles
Nite Owl I,DC
Mundungus Fletcher,Harry Potter
Max Guevara,Dark Angel
Nightrunner,DC
Bronze Tiger,DC
Manchester Black,DC
Andrea Beaumont,DC Animated
Arya Stark,World of Ice and Fire
Deathblow,Wildstorm
Dinah Redmond,Earth-203
Manhunter,DC
Lock-Up,DC
Codename: Assassin,DC
Spider-Man Noir,Marvel
Robin,Earth-Two
Phil Urich,Marvel
Confessor,Wildstorm
Darkdevil,Marvel Comics 2
Felicity Hardy,Marvel Comics 2
Danny Ketch,Marvel
Silhouette,DC
Atom,DC
